259,223,186,186
258,222,186,186
257,223,186,186
257,222,186,186
258,223,186,186
258,225,186,186
257,226,186,186
257,228,186,186
255,228,186,186
256,230,186,186
256,231,186,186
254,231,186,186
252,233,186,186
248,235,186,186
243,235,186,186
238,236,186,186
233,236,186,186
229,235,186,186
228,233,186,186
225,232,186,186
224,229,186,186
222,228,186,186
221,226,186,186
221,224,186,186
222,223,186,186
222,222,186,186
220,222,186,186
218,221,186,186
218,221,186,186
219,222,186,186
217,222,186,186
234,216,187,187
235,216,187,187
235,216,187,187
236,215,187,187
236,215,187,187
237,215,187,187
237,214,187,187
238,215,187,187
237,214,187,187
238,214,187,187
239,214,187,187
240,212,187,187
241,213,187,187
241,213,187,187
242,214,187,187
241,214,187,187
241,215,187,187
241,217,187,187
241,217,187,187
242,219,187,187
242,220,187,187
244,223,187,187
245,225,187,187
246,226,187,187
247,225,187,187
247,225,187,187
248,225,187,187
248,224,187,187
249,224,187,187
250,222,187,187
251,220,187,187
254,227,191,191
254,226,191,191
255,226,191,191
253,226,191,191
252,228,191,191
251,228,191,191
252,230,191,191
252,230,191,191
252,228,191,191
252,230,191,191
251,229,191,191
250,229,191,191
249,228,191,191
246,228,191,191
247,228,191,191
246,229,191,191
246,227,191,191
244,227,191,191
244,225,191,191
243,225,191,191
242,226,191,191
239,226,191,191
238,227,191,191
238,227,191,191
238,228,191,191
239,228,191,191
239,228,191,191
240,229,191,191
238,231,191,191
238,231,191,191
238,232,191,191
236,250,177,177
236,250,177,177
236,250,177,177
237,250,177,177
236,249,177,177
235,248,177,177
236,248,177,177
236,248,177,177
235,247,177,177
236,248,177,177
236,246,177,177
236,245,177,177
235,244,177,177
236,245,177,177
236,245,177,177
235,246,177,177
235,245,177,177
235,246,177,177
237,248,177,177
237,248,177,177
239,250,177,177
238,251,177,177
239,251,177,177
239,251,177,177
239,251,177,177
239,254,177,177
239,253,177,177
239,254,177,177
239,254,177,177
240,254,177,177
240,256,177,177
225,240,189,189
225,241,189,189
226,239,189,189
225,241,189,189
225,238,189,189
226,236,189,189
227,235,189,189
227,233,189,189
227,233,189,189
227,232,189,189
226,233,189,189
225,235,189,189
224,237,189,189
225,240,189,189
225,242,189,189
225,243,189,189
225,244,189,189
223,242,189,189
223,241,189,189
222,241,189,189
219,239,189,189
220,237,189,189
220,236,189,189
221,232,189,189
224,230,189,189
229,230,189,189
235,229,189,189
243,228,189,189
254,223,189,189
266,222,189,189
278,220,189,189
354,159,210,210
328,162,210,210
293,172,200,200
290,173,200,200
282,180,190,190
280,181,190,190
276,183,190,190
279,189,181,181
273,192,181,181
268,195,181,181
268,200,173,173
264,201,173,173
264,206,165,165
263,207,165,165
265,213,157,157
264,215,157,157
263,219,157,157
263,221,157,157
263,225,157,157
264,226,157,157
265,227,157,157
265,227,157,157
267,228,157,157
270,229,157,157
273,231,157,157
277,232,157,157
281,233,157,157
285,236,157,157
289,239,157,157
289,238,165,165
292,242,165,165
279,239,197,197
283,239,197,197
288,240,197,197
295,241,197,197
305,244,197,197
309,246,197,197
309,244,197,197
310,244,197,197
308,242,197,197
306,242,197,197
304,242,197,197
303,242,197,197
301,243,197,197
300,241,197,197
299,242,197,197
297,241,197,197
294,239,197,197
291,236,197,197
287,233,197,197
282,228,197,197
280,224,197,197
278,222,197,197
277,224,197,197
